Hour,Door,Assignment,Volume
4,1,3,0
4,2,3,50
4,3,3,94
4,4,0,91
4,5,0,34
4,6,0,23
4,7,3,67
4,8,3,0
4,9,0,0
4,10,0,47
4,11,0,6
4,12,1,42
4,13,1,61
4,14,0,0
4,15,1,62
4,16,1,57
4,17,1,84
4,18,0,27
4,19,2,54
4,20,2,0
4,21,2,97
4,22,2,85
4,23,2,35
4,24,2,36
4,25,2,0
4,26,5,65
4,27,5,0
4,28,0,64
4,29,0,34
4,30,5,30
4,31,0,93
4,32,5,0
4,33,5,0
4,34,5,0
4,35,5,8
4,36,6,27
4,37,6,13
4,38,6,0
4,39,0,76
4,40,6,0
4,41,4,48
4,42,4,33
4,43,4,78
4,44,0,70
4,45,4,0
4,46,0,83
4,47,4,0
4,48,4,77
4,49,4,69
4,50,4,54
4,51,10,0
4,52,10,55
4,53,10,99
4,54,8,4
4,55,8,0
4,56,8,100
4,57,8,61
4,58,8,0
4,59,8,39
4,60,0,26
4,61,8,38
4,62,8,0
4,63,11,40
4,64,11,61
4,65,9,61
4,66,0,76
4,67,9,0
4,68,9,0
4,69,9,51
4,70,7,3
4,71,7,0
4,72,7,39
4,73,0,12
4,74,7,78
4,75,7,0
4,76,0,0
4,77,0,0
4,78,12,71
4,79,12,55
4,80,12,78
4,81,12,0
4,82,12,61
4,83,13,16
4,84,13,75
4,85,13,100
4,86,13,70
4,87,13,0
4,88,0,0
4,89,16,45
4,90,16,21
4,91,16,68
4,92,16,45
4,93,16,0
4,94,15,0
4,95,0,0
4,96,15,92
4,97,14,43
4,98,14,89
4,99,14,83
4,100,14,46
4,1,4,
4,2,4,
4,3,4,
4,4,4,
4,5,4,
4,6,3,
4,7,0,
4,8,3,
4,9,3,
4,10,3,
4,11,3,
4,12,3,
4,13,2,
4,14,2,
4,15,0,
4,16,2,
4,17,2,
4,18,2,
4,19,2,
4,20,2,
4,21,2,
4,22,0,
4,23,0,
4,24,0,
4,25,0,
4,26,7,
4,27,7,
4,28,5,
4,29,5,
4,30,5,
4,31,5,
4,32,9,
4,33,9,
4,34,9,
4,35,9,
4,36,9,
4,37,9,
4,38,6,
4,39,6,
4,40,6,
4,41,0,
4,42,6,
4,43,8,
4,44,8,
4,45,8,
4,46,0,
4,47,8,
4,48,8,
4,49,8,
4,50,8,
4,51,10,
4,52,10,
4,53,10,
4,54,0,
4,55,0,
4,56,10,
4,57,11,
4,58,11,
4,59,11,
4,60,0,
4,61,0,
4,62,11,
4,63,0,
4,64,12,
4,65,12,
4,66,12,
4,67,13,
4,68,13,
4,69,0,
4,70,13,
4,71,13,
4,72,13,
4,73,0,
4,74,13,
4,75,13,
4,76,15,
4,77,15,
4,78,15,
4,79,0,
4,80,18,
4,81,18,
4,82,18,
4,83,16,
4,84,0,
4,85,0,
4,86,16,
4,87,0,
4,88,16,
4,89,19,
4,90,0,
4,91,0,
4,92,0,
4,93,0,
4,94,19,
4,95,19,
4,96,0,
4,97,17,
4,98,17,
4,99,14,
4,100,14,
4,1,3,
4,2,0,
4,3,3,
4,4,0,
4,5,3,
4,6,3,
4,7,3,
4,8,2,
4,9,2,
4,10,0,
4,11,2,
4,12,2,
4,13,1,
4,14,1,
4,15,0,
4,16,0,
4,17,1,
4,18,1,
4,19,4,
4,20,4,
4,21,4,
4,22,4,
4,23,0,
4,24,4,
4,25,0,
4,26,0,
4,27,0,
4,28,5,
4,29,5,
4,30,5,
4,31,5,
4,32,7,
4,33,7,
4,34,0,
4,35,7,
4,36,7,
4,37,7,
4,38,7,
4,39,0,
4,40,8,
4,41,8,
4,42,8,
4,43,8,
4,44,8,
4,45,6,
4,46,6,
4,47,0,
4,48,6,
4,49,6,
4,50,6,
4,51,14,
4,52,0,
4,53,14,
4,54,14,
4,55,10,
4,56,10,
4,57,10,
4,58,10,
4,59,0,
4,60,11,
4,61,11,
4,62,11,
4,63,11,
4,64,13,
4,65,0,
4,66,0,
4,67,0,
4,68,13,
4,69,13,
4,70,9,
4,71,9,
4,72,0,
4,73,12,
4,74,12,
