Hour,Door,Assignment,Volume
2,1,3,72
2,2,3,44
2,3,3,64
2,4,0,72
2,5,0,5
2,6,0,20
2,7,3,0
2,8,3,24
2,9,0,31
2,10,0,67
2,11,0,41
2,12,1,32
2,13,1,33
2,14,0,75
2,15,1,0
2,16,1,94
2,17,1,26
2,18,0,85
2,19,2,21
2,20,2,24
2,21,2,60
2,22,2,0
2,23,2,0
2,24,2,0
2,25,2,0
2,26,5,95
2,27,5,85
2,28,0,43
2,29,0,96
2,30,5,46
2,31,0,2
2,32,5,99
2,33,5,56
2,34,5,62
2,35,5,8
2,36,6,5
2,37,6,32
2,38,6,62
2,39,0,54
2,40,6,60
2,41,4,0
2,42,4,45
2,43,4,67
2,44,0,54
2,45,4,10
2,46,0,0
2,47,4,41
2,48,4,16
2,49,4,7
2,50,4,23
2,51,10,7
2,52,10,4
2,53,10,92
2,54,8,0
2,55,8,0
2,56,8,61
2,57,8,64
2,58,8,11
2,59,8,43
2,60,0,0
2,61,8,0
2,62,8,57
2,63,11,0
2,64,11,5
2,65,9,97
2,66,0,98
2,67,9,28
2,68,9,40
2,69,9,0
2,70,7,33
2,71,7,3
2,72,7,27
2,73,0,0
2,74,7,36
2,75,7,42
2,76,0,67
2,77,0,56
2,78,12,43
2,79,12,0
2,80,12,51
2,81,12,30
2,82,12,91
2,83,13,86
2,84,13,0
2,85,13,0
2,86,13,26
2,87,13,0
2,88,0,64
2,89,16,88
2,90,16,0
2,91,16,0
2,92,16,0
2,93,16,0
2,94,15,42
2,95,0,54
2,96,15,0
2,97,14,71
2,98,14,77
2,99,14,92
2,100,14,85
2,1,4,
2,2,4,
2,3,4,
2,4,4,
2,5,4,
2,6,3,
2,7,0,
2,8,3,
2,9,3,
2,10,3,
2,11,3,
2,12,3,
2,13,2,
2,14,2,
2,15,0,
2,16,2,
2,17,2,
2,18,2,
2,19,2,
2,20,2,
2,21,2,
2,22,0,
2,23,0,
2,24,0,
2,25,0,
2,26,7,
2,27,7,
2,28,5,
2,29,5,
2,30,5,
2,31,5,
2,32,9,
2,33,9,
2,34,9,
2,35,9,
2,36,9,
2,37,9,
2,38,6,
2,39,6,
2,40,6,
2,41,0,
2,42,6,
2,43,8,
2,44,8,
2,45,8,
2,46,0,
2,47,8,
2,48,8,
2,49,8,
2,50,8,
2,51,10,
2,52,10,
2,53,10,
2,54,0,
2,55,0,
2,56,10,
2,57,11,
2,58,11,
2,59,11,
2,60,0,
2,61,0,
2,62,11,
2,63,0,
2,64,12,
2,65,12,
2,66,12,
2,67,13,
2,68,13,
2,69,0,
2,70,13,
2,71,13,
2,72,13,
2,73,0,
2,74,13,
2,75,13,
2,76,15,
2,77,15,
2,78,15,
2,79,0,
2,80,18,
2,81,18,
2,82,18,
2,83,16,
2,84,0,
2,85,0,
2,86,16,
2,87,0,
2,88,16,
2,89,19,
2,90,0,
2,91,0,
2,92,0,
2,93,0,
2,94,19,
2,95,19,
2,96,0,
2,97,17,
2,98,17,
2,99,14,
2,100,14,
