Hour,Door,Assignment,Volume
6,1,3,0
6,2,3,81
6,3,3,26
6,4,0,72
6,5,0,10
6,6,0,0
6,7,3,74
6,8,3,0
6,9,0,52
6,10,0,53
6,11,0,66
6,12,1,84
6,13,1,50
6,14,0,56
6,15,1,29
6,16,1,66
6,17,1,37
6,18,0,71
6,19,2,64
6,20,2,43
6,21,2,6
6,22,2,45
6,23,2,6
6,24,2,54
6,25,2,0
6,26,5,75
6,27,5,65
6,28,0,52
6,29,0,26
6,30,5,46
6,31,0,85
6,32,5,23
6,33,5,16
6,34,5,35
6,35,5,64
6,36,6,10
6,37,6,60
6,38,6,79
6,39,0,99
6,40,6,36
6,41,4,25
6,42,4,93
6,43,4,12
6,44,0,38
6,45,4,69
6,46,0,58
6,47,4,10
6,48,4,43
6,49,4,80
6,50,4,30
6,51,10,47
6,52,10,60
6,53,10,21
6,54,8,41
6,55,8,60
6,56,8,64
6,57,8,34
6,58,8,89
6,59,8,93
6,60,0,42
6,61,8,95
6,62,8,7
6,63,11,89
6,64,11,40
6,65,9,26
6,66,0,54
6,67,9,44
6,68,9,27
6,69,9,22
6,70,7,67
6,71,7,1
6,72,7,0
6,73,0,1
6,74,7,2
6,75,7,56
6,76,0,0
6,77,0,96
6,78,12,88
6,79,12,48
6,80,12,66
6,81,12,57
6,82,12,0
6,83,13,0
6,84,13,0
6,85,13,94
6,86,13,5
6,87,13,82
6,88,0,0
6,89,16,36
6,90,16,0
6,91,16,36
6,92,16,27
6,93,16,83
6,94,15,30
6,95,0,6
6,96,15,0
6,97,14,0
6,98,14,31
6,99,14,76
6,100,14,78
6,1,4,
6,2,4,
6,3,4,
6,4,4,
6,5,4,
6,6,3,
6,7,0,
6,8,3,
6,9,3,
6,10,3,
6,11,3,
6,12,3,
6,13,2,
6,14,2,
6,15,0,
6,16,2,
6,17,2,
6,18,2,
6,19,2,
6,20,2,
6,21,2,
6,22,0,
6,23,0,
6,24,0,
6,25,0,
6,26,7,
6,27,7,
6,28,5,
6,29,5,
6,30,5,
6,31,5,
6,32,9,
6,33,9,
6,34,9,
6,35,9,
6,36,9,
6,37,9,
6,38,6,
6,39,6,
6,40,6,
6,41,0,
6,42,6,
6,43,8,
6,44,8,
6,45,8,
6,46,0,
6,47,8,
6,48,8,
6,49,8,
6,50,8,
6,51,10,
6,52,10,
6,53,10,
6,54,0,
6,55,0,
6,56,10,
6,57,11,
6,58,11,
6,59,11,
6,60,0,
6,61,0,
6,62,11,
6,63,0,
6,64,12,
6,65,12,
6,66,12,
6,67,13,
6,68,13,
6,69,0,
6,70,13,
6,71,13,
6,72,13,
6,73,0,
6,74,13,
6,75,13,
6,76,15,
6,77,15,
6,78,15,
6,79,0,
6,80,18,
6,81,18,
6,82,18,
6,83,16,
6,84,0,
6,85,0,
6,86,16,
6,87,0,
6,88,16,
6,89,19,
6,90,0,
6,91,0,
6,92,0,
6,93,0,
6,94,19,
6,95,19,
6,96,0,
6,97,17,
6,98,17,
6,99,14,
6,100,14,
6,1,3,
6,2,0,
6,3,3,
6,4,0,
6,5,3,
6,6,3,
6,7,3,
6,8,2,
6,9,2,
6,10,0,
6,11,2,
6,12,2,
6,13,1,
6,14,1,
6,15,0,
6,16,0,
6,17,1,
6,18,1,
6,19,4,
6,20,4,
6,21,4,
6,22,4,
6,23,0,
6,24,4,
6,25,0,
6,26,0,
6,27,0,
6,28,5,
6,29,5,
6,30,5,
6,31,5,
6,32,7,
6,33,7,
6,34,0,
