Hour,Door,Assignment,Volume
1,1,3,38
1,2,3,27
1,3,3,18
1,4,0,0
1,5,0,0
1,6,0,0
1,7,3,2
1,8,3,68
1,9,0,0
1,10,0,0
1,11,0,0
1,12,1,80
1,13,1,36
1,14,0,0
1,15,1,57
1,16,1,12
1,17,1,32
1,18,0,0
1,19,2,68
1,20,2,29
1,21,2,25
1,22,2,19
1,23,2,15
1,24,2,43
1,25,2,19
1,26,5,68
1,27,5,49
1,28,0,0
1,29,0,0
1,30,5,33
1,31,0,0
1,32,5,9
1,33,5,5
1,34,5,68
1,35,5,46
1,36,6,35
1,37,6,62
1,38,6,55
1,39,0,0
1,40,6,59
1,41,4,4
1,42,4,18
1,43,4,14
1,44,0,0
1,45,4,54
1,46,0,0
1,47,4,4
1,48,4,2
1,49,4,50
1,50,4,3
1,51,10,49
1,52,10,30
1,53,10,80
1,54,8,9
1,55,8,4
1,56,8,43
1,57,8,12
1,58,8,38
1,59,8,41
1,60,0,0
1,61,8,66
1,62,8,9
1,63,11,76
1,64,11,78
1,65,9,29
1,66,0,0
1,67,9,20
1,68,9,77
1,69,9,48
1,70,7,31
1,71,7,31
1,72,7,22
1,73,0,0
1,74,7,29
1,75,7,41
1,76,0,0
1,77,0,0
1,78,12,32
1,79,12,46
1,80,12,51
1,81,12,12
1,82,12,23
1,83,13,80
1,84,13,1
1,85,13,19
1,86,13,78
1,87,13,31
1,88,0,0
1,89,16,17
1,90,16,12
1,91,16,48
1,92,16,40
1,93,16,39
1,94,15,90
1,95,0,0
1,96,15,59
1,97,14,50
1,98,14,48
1,99,14,18
1,100,14,54
2,1,4,72
2,2,4,44
2,3,4,64
2,4,4,72
2,5,4,5
2,6,3,20
2,7,0,0
2,8,3,24
2,9,3,31
2,10,3,67
2,11,3,41
2,12,3,32
2,13,2,33
2,14,2,75
2,15,0,0
2,16,2,94
2,17,2,26
2,18,2,85
2,19,2,21
2,20,2,24
2,21,2,60
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,7,95
2,27,7,85
2,28,5,43
2,29,5,96
2,30,5,46
2,31,5,2
2,32,9,99
2,33,9,56
2,34,9,62
2,35,9,8
2,36,9,5
2,37,9,32
2,38,6,62
2,39,6,54
2,40,6,60
2,41,0,0
2,42,6,45
2,43,8,67
2,44,8,54
2,45,8,10
2,46,0,0
2,47,8,41
2,48,8,16
2,49,8,7
2,50,8,23
2,51,10,7
2,52,10,4
2,53,10,92
2,54,0,0
2,55,0,0
2,56,10,61
2,57,11,64
2,58,11,11
2,59,11,43
2,60,0,0
2,61,0,0
2,62,11,57
2,63,0,0
2,64,12,5
2,65,12,97
2,66,12,98
2,67,13,28
2,68,13,40
2,69,0,0
2,70,13,33
2,71,13,3
2,72,13,27
2,73,0,0
2,74,13,36
2,75,13,42
2,76,15,67
2,77,15,56
2,78,15,43
2,79,0,0
2,80,18,51
2,81,18,30
2,82,18,91
2,83,16,86
2,84,0,0
2,85,0,0
2,86,16,26
2,87,0,0
2,88,16,64
2,89,19,88
2,90,0,0
2,91,0,0
2,92,0,0
2,93,0,0
2,94,19,42
2,95,19,54
2,96,0,0
2,97,17,71
2,98,17,77
2,99,14,92
2,100,14,85
3,1,3,58
3,2,0,0
3,3,3,30
3,4,0,0
3,5,3,50
3,6,3,46
3,7,3,39
3,8,2,25
3,9,2,66
3,10,0,0
3,11,2,83
3,12,2,72
3,13,1,5
3,14,1,87
3,15,0,0
3,16,0,0
3,17,1,39
3,18,1,59
3,19,4,60
3,20,4,19
3,21,4,84
3,22,4,45
3,23,0,0
3,24,4,21
3,25,0,0
3,26,0,0
3,27,0,0
3,28,5,94
3,29,5,1
3,30,5,56
3,31,5,46
3,32,7,53
3,33,7,31
3,34,0,0
3,35,7,49
3,36,7,82
3,37,7,12
3,38,7,5
3,39,0,0
3,40,8,88
3,41,8,63
3,42,8,2
3,43,8,19
3,44,8,97
3,45,6,100
3,46,6,22
3,47,0,0
3,48,6,11
3,49,6,40
3,50,6,60
3,51,14,42
3,52,0,0
3,53,14,83
3,54,14,55
3,55,10,68
3,56,10,27
3,57,10,35
3,58,10,56
3,59,0,0
3,60,11,31
3,61,11,68
3,62,11,45
3,63,11,3
3,64,13,22
3,65,0,0
3,66,0,0
3,67,0,0
3,68,13,92
3,69,13,22
3,70,9,82
3,71,9,99
3,72,0,0
3,73,12,18
3,74,12,56
3,75,12,58
3,76,16,81
3,77,16,49
3,78,0,0
3,79,16,58
3,80,21,85
3,81,21,74
3,82,18,97
3,83,18,100
3,84,19,71
3,85,19,46
3,86,19,69
3,87,15,88
3,88,0,0
3,89,15,57
3,90,0,0
3,91,0,0
3,92,17,35
3,93,17,78
3,94,17,12
3,95,17,23
3,96,20,36
3,97,0,0
3,98,20,18
3,99,20,73
3,100,20,12
4,1,0,0
4,2,4,50
4,3,4,94
4,4,4,91
4,5,2,34
4,6,2,23
4,7,2,67
4,8,0,0
4,9,0,0
4,10,2,47
4,11,2,6
4,12,2,42
4,13,3,61
4,14,0,0
4,15,3,62
4,16,3,57
4,17,1,84
4,18,1,27
4,19,1,54
4,20,0,0
4,21,5,97
4,22,5,85
4,23,5,35
4,24,5,36
4,25,0,0
4,26,7,65
4,27,0,0
4,28,7,64
4,29,7,34
4,30,7,30
4,31,7,93
4,32,0,0
4,33,0,0
4,34,0,0
4,35,6,8
4,36,6,27
4,37,6,13
4,38,0,0
4,39,6,76
4,40,0,0
4,41,6,48
4,42,6,33
4,43,8,78
4,44,8,70
4,45,0,0
4,46,8,83
4,47,0,0
4,48,9,77
4,49,9,69
4,50,9,54
4,51,0,0
4,52,12,55
4,53,12,99
4,54,13,4
4,55,0,0
4,56,13,100
4,57,13,61
4,58,0,0
4,59,10,39
4,60,10,26
4,61,10,38
4,62,0,0
4,63,10,40
4,64,14,61
4,65,14,61
4,66,14,76
